Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
3, eco6, 6, 936093, 19.2, 462.1, 2841.6, 30.4, 8.5, 5, 56.1, 15.07, 74.5, 5.9, 10.1, 6.1, 1325.9, 261, 149, 33, 2.6, 4.3, 1.2, 3, 23.7, 67, 15.9, 355.6, 0.2, 0.1, 3.3, 2.3, 0.4, 0.2, 0, 0.1, 0, 0.1, 1, 8.3, 1.1, 42.1, 0, 0, 0, 0, 0.1, 4.3, 0.5, 0, 0.04, 1.36, 0.46, 0, 0, 0.1, 0, 67.8, 3.62, 0, 
3, eco7, 7, 521671, 129.4, 787.9, 37215, 46.9, 12.9, 8.4, 466.7, 15.14, 176.3, 8.3, 13.7, 8.3, 17477.8, 3165.7, 1182.7, 215.4, 4.2, 6.7, 2.1, 4.4, 159.6, 122.6, 40.2, 465.5, 0.4, 0.2, 45.5, 37.3, 3.1, 2.4, 0, 0.2, 0, 0.2, 1.7, 13.3, 1.8, 55.2, 0, 0, 0, 0, 0.1, 5.7, -0.6, 0, 0.06, 10.73, 1.5, 0.1, 0, 0.4, 0.1, 87.5, 3.59, 0, 
3, eco8, 8, 580739, 66.7, 594, 2538.6, 16, 4.5, 2.4, 41.6, 18.41, 93.3, 9.9, 4.8, 2.8, 1188.6, 235.3, 101.4, 23.4, 1.2, 1.9, 0.6, 1.3, 22.5, 91, 17.8, 462.7, 0.1, 0.1, 3, 2.5, 0.3, 0.2, 0, 0, 0, 0, 1.1, 11.4, 1.4, 54.8, 0, 0, 0, 0, 0.1, 7, 1.1, 0, 0.05, 2.07, 0.62, 0, 0, 0, 0, 87.2, 4.19, 0, 
3, eco9, 9, 336263, 9.4, 322.5, 1645.2, 33.6, 9.4, 4.2, 44.9, 9.42, 49.3, 4.8, 9.8, 5.9, 763.5, 151.9, 145, 27.4, 2.3, 3.7, 1.1, 2.7, 16.9, 55.3, 14.9, 235.3, 0.2, 0.1, 1.9, 0.5, 0.4, 0.1, 0, 0.1, 0, 0.1, 1.1, 6.4, 1, 28, 0, 0, 0, 0, 0.1, 3.7, 0, 0, 0.11, 6.6, 1.42, 0.1, 0, 0, 0, 46.1, 2.26, 0, 
3, eco10, 10, 254883, 405.1, 1085.7, 157755.4, 50.8, 12.4, 6.7, 1877.1, 11.25, 403.3, 9.3, 18.3, 12.3, 74126.1, 9531.7, 4559.6, 609.2, 3.7, 5, 2, 3.4, 533.1, 133, 87.4, 332.1, 0.5, 0.3, 204.1, 110.6, 12.5, 7.1, 0, 0.2, 0, 0.1, 2.5, 13.2, 1.5, 39.4, 0, 0, 0, 0, 0.1, 6.2, -4.6, 0, 0.05, 4.78, 0.8, 0.1, 0, 0.5, 0.1, 68.2, 2.86, 0, 
4, eco1, 1, 472775, 42.1, 651.9, 14589.1, 33.4, 9.2, 7.2, 194.2, 13.6, 111.3, 3.9, 14, 8.5, 6843, 1163.1, 838.2, 130.9, 5.2, 8.7, 2.6, 6.1, 110, 78.7, 28.3, 434.8, 0.3, 0.2, 17.8, 12.7, 2.2, 1.3, 0, 0.2, 0, 0.2, 1.5, 8.8, 1.2, 51.3, 0, 0, 0, 0, 0.1, 2.8, -0.3, 0, 0.04, 1.72, 0.58, 0.3, 0, 0.2, 0.1, 76.9, 3.44, 0, 
4, eco2, 2, 369410, -7, 136.9, 1223.4, 15.7, 4.4, 3.5, 26.4, 6.9, 25, 1, 7, 4.2, 568.6, 113.7, 132.7, 26.6, 2.8, 4.6, 1.3, 3.3, 14, 15.8, 4.6, 102.5, 0.2, 0.1, 1.4, 0.3, 0.3, 0.1, 0, 0.1, 0, 0.1, 0.9, 2, 0.3, 12.2, 0, 0, 0, 0, 0, 0.7, 0, 0, 0.02, 0.39, 0.13, 0, 0, 0, 0, 22.5, 1.81, 0, 
4, eco3, 3, 292243, 125.5, 1199.4, 19914, 46.2, 12.7, 9.7, 267.6, 28.64, 197.8, 10.1, 15.2, 9.2, 9345.4, 1762.8, 783.5, 157.1, 5.6, 8.9, 3, 6.3, 188.4, 128.1, 37.7, 845.1, 0.4, 0.2, 25, 20.6, 2.1, 1.6, 0, 0.2, 0, 0.2, 2.2, 14.9, 1.9, 99.9, 0, 0, 0, 0, 0.2, 6.8, -0.2, 0, 0.04, 0.42, 0.55, 0.1, 0, 0.2, 0.1, 148, 7.13, 0, 
4, eco4, 4, 482063, 274.3, 1070.3, 51094, 53, 14.6, 12.7, 651.9, 11.55, 198.2, 7.3, 20, 12.1, 23995.1, 4245.5, 2004.9, 359, 8.3, 13.5, 4.3, 9.3, 497.2, 133.8, 62.4, 376.9, 0.5, 0.3, 64, 50.4, 5.3, 4, 0, 0.4, 0, 0.3, 2.5, 12.6, 1.7, 44.7, 0, 0, 0, 0, 0.2, 3.9, -2.2, 0, 0.05, 1.28, 0.48, 0.6, 0, 0.4, 0.1, 73.7, 2.94, 0, 
4, eco5, 5, 279971, 671.9, 1896.7, 156307.3, 56.4, 14.7, 11, 1916.8, 8.3, 441.4, 10.9, 19.9, 12.9, 73443.3, 11352.2, 6475.3, 990.4, 7.7, 11.8, 4.4, 7.8, 1157.9, 229.5, 167.3, 341.9, 0.5, 0.3, 196.6, 139.6, 17.1, 12.2, 0, 0.4, 0, 0.3, 4.2, 18.7, 2.6, 40.6, 0, 0, 0, 0, 0.2, 6.1, -6.3, 0, 0.05, 1.32, 0.43, 2.9, 0, 0.5, 0.1, 75.1, 2.17, 0, 
4, eco6, 6, 936093, 9.4, 449.6, 2767.7, 20, 5.6, 5.1, 47.5, 13.62, 70.7, 2.9, 9.2, 5.5, 1292.1, 254.3, 181.1, 40.2, 3.5, 6, 1.7, 4.3, 30.2, 51.3, 12.4, 355.8, 0.2, 0.1, 3.3, 2.3, 0.5, 0.3, 0, 0.1, 0, 0.1, 1, 6.3, 0.8, 42.1, 0, 0, 0, 0, 0.1, 2.1, 0.2, 0, 0.04, 1.02, 0.39, 0, 0, 0.1, 0, 64.1, 3.49, 0, 
