# ppt,,,
,eco7,eco7,eco7
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1951-01-08T00:00:00Z,6.32E-08,1.90E-08,1.38E-04
1951-01-09T00:00:00Z,0,0,0
1951-01-10T00:00:00Z,0,0,0
1951-01-11T00:00:00Z,0.001649466,4.93E-04,0.022200711
1951-01-12T00:00:00Z,2.7199738,0.7771472,0.88155955
1951-01-13T00:00:00Z,0.21529786,0.11748917,0.3427669
1951-01-14T00:00:00Z,0,0,0
1951-01-15T00:00:00Z,8.08E-04,2.42E-04,0.015562532
1951-01-16T00:00:00Z,0,0,0
1951-01-17T00:00:00Z,0.005570158,0.002716139,0.052116588
1951-01-18T00:00:00Z,0.004388066,0.001299148,0.0360437
1951-01-19T00:00:00Z,0.2401193,0.16763677,0.40943468
1951-01-20T00:00:00Z,0.001866682,6.24E-04,0.024977667
1951-01-21T00:00:00Z,2.7630427,8.709009,2.951103
1951-01-22T00:00:00Z,4.876157,4.7098927,2.1702287
1951-01-23T00:00:00Z,13.168027,66.91676,8.180266
1951-01-24T00:00:00Z,32.61514,306.47235,17.506351
1951-01-25T00:00:00Z,0.67421633,0.43719047,0.6612038
1951-01-26T00:00:00Z,0.057006,0.01938105,0.13921584
1951-01-27T00:00:00Z,0.70650107,0.7143215,0.84517545
1951-01-28T00:00:00Z,0.15435979,0.06510522,0.25515726
1951-01-29T00:00:00Z,0.021530043,0.008751961,0.09355192
1951-01-30T00:00:00Z,0.59888643,0.9032552,0.95039743
1951-01-31T00:00:00Z,0.037731107,0.013747664,0.117250435
1951-02-01T00:00:00Z,0,0,0
1951-02-02T00:00:00Z,5.1560655,19.81967,4.451929
1951-02-03T00:00:00Z,0.029766614,0.0118381,0.108803034
1951-02-04T00:00:00Z,3.8247159,19.143047,4.375277
1951-02-05T00:00:00Z,3.9631455,24.78209,4.9781613
1951-02-06T00:00:00Z,4.656749,4.5033064,2.1220996
1951-02-07T00:00:00Z,1.57E-05,4.73E-06,0.002173777
1951-02-08T00:00:00Z,0.4754016,0.35538787,0.5961442
1951-02-09T00:00:00Z,32.62862,271.48834,16.476904
1951-02-10T00:00:00Z,26.961374,111.40466,10.554841
1951-02-11T00:00:00Z,2.382713,1.4414005,1.2005835
1951-02-12T00:00:00Z,5.666062,2.4878666,1.5772972
1951-02-13T00:00:00Z,0.003111241,9.25E-04,0.030415537
1951-02-14T00:00:00Z,0.45442748,0.59828866,0.7734912
1951-02-15T00:00:00Z,0,0,0
1951-02-16T00:00:00Z,0,0,0
1951-02-17T00:00:00Z,14.706496,148.76057,12.196745
1951-02-18T00:00:00Z,56.92932,275.19186,16.58891
1951-02-19T00:00:00Z,11.970997,42.360138,6.5084667
1951-02-20T00:00:00Z,0.8485926,0.35403326,0.59500694
1951-02-21T00:00:00Z,12.2633295,68.55032,8.279512
1951-02-22T00:00:00Z,32.570274,131.99088,11.488729
1951-02-23T00:00:00Z,29.658314,204.6443,14.305394
1951-02-24T00:00:00Z,0,0,0
1951-02-25T00:00:00Z,0,0,0
1951-02-26T00:00:00Z,11.932255,22.421066,4.735089
1951-02-27T00:00:00Z,0.16207023,0.0825102,0.2872459
1951-02-28T00:00:00Z,4.26E-05,1.28E-05,0.003576709
1951-03-01T00:00:00Z,1.1704626,2.8426478,1.6860154
1951-03-02T00:00:00Z,35.70109,737.23425,27.152058
1951-03-03T00:00:00Z,17.347372,53.751377,7.3315334
1951-03-04T00:00:00Z,8.969096,38.408474,6.197457
1951-03-05T00:00:00Z,9.30E-07,2.79E-07,5.28E-04
1951-03-06T00:00:00Z,0.03487358,0.06514493,0.25523505
1951-03-07T00:00:00Z,0,0,0
1951-03-08T00:00:00Z,9.30E-07,2.79E-07,5.28E-04
1951-03-09T00:00:00Z,0,0,0
1951-03-10T00:00:00Z,0.20348252,0.07436947,0.27270767
1951-03-11T00:00:00Z,15.302877,39.436558,6.2798533
1951-03-12T00:00:00Z,0.98797125,0.7046435,0.83943045
1951-03-13T00:00:00Z,7.8873944,54.424915,7.377324
1951-03-14T00:00:00Z,12.009266,12.460947,3.5300066
1951-03-15T00:00:00Z,14.877981,70.95407,8.423424
1951-03-16T00:00:00Z,0.014739105,0.004441178,0.066642165
1951-03-17T00:00:00Z,0,0,0
1951-03-18T00:00:00Z,0.002220038,6.62E-04,0.02573118
1951-03-19T00:00:00Z,0,0,0
1951-03-20T00:00:00Z,0,0,0
1951-03-21T00:00:00Z,0,0,0
1951-03-22T00:00:00Z,0.002262279,8.01E-04,0.02830118
