Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
2, 766, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 768, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 801, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 803, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 805, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 807, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 810, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 811, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 814, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 815, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 818, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 821, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 823, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 826, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 827, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 829, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 834, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 835, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 838, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 839, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 843, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 846, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 847, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 901, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 972, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 973, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 974, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 975, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 981, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 73, eco7, 1, 0, 1, 0, 0, 298, 0, 365, 
